pryid,indsct,orgtyp,apptyp,dvltyp,dvlplt,lngtyp,prglng1,fncsze,nwell1,smmwrkeff,maxteasze,dbms1,dvlmtd,loc,indsct2,conteo2ind,orgtyp2,conteo2org,apptyp2,conteo2app,dvlplt2,conteo2dvlplt,lngtyp2,conteo2lngtyp,prglng2,conteo2prglng,dbms12,conteo2dbms1,dvlmtd2,conteo2dvlmtd
14422,Communication,Telecommunications,"Financial transaction process/accounting","New Development",Multi,3GL,Java,2043,23271,22014,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
14439,Government,Government,"Management of Licences and Permits",Enhancement,MF,ApG,COOL:Gen,57,1810,1810,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Government,27,Government,19,"Management of Licences and Permits",8,MF,78,ApG,9,COOL:Gen,7,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
14466,Insurance,Insurance,"Financial transaction process/accounting",Enhancement,Multi,4GL,NATURAL,84,867,711,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Insurance,53,Insurance,53,"Financial transaction process/accounting",187,Multi,281,4GL,61,NATURAL,4,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
14483,Communication,Telecommunications,"Customer relationship management",Enhancement,Multi,3GL,PL/SQL,67,995,816,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Customer relationship management",33,Multi,281,3GL,330,PL/SQL,19,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
14494,"Medical & Health Care","Medical and Health Care","Financial transaction process/accounting",Enhancement,Multi,3GL,Java,18,1672,1672,52,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,"Medical & Health Care",57,"Medical and Health Care",57,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
14544,"Medical & Health Care","Medical and Health Care","Financial transaction process/accounting",Enhancement,Multi,3GL,Java,4,1330,1064,20,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,"Medical & Health Care",57,"Medical and Health Care",57,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
14712,Insurance,Insurance,"Financial transaction process/accounting",Enhancement,Multi,3GL,"Visual Basic",385,7352,7352,-1,ISAM,"Waterfall (incl Linear Processing & SSADM)",-1,Insurance,53,Insurance,53,"Financial transaction process/accounting",187,Multi,281,3GL,330,"Visual Basic",19,ISAM,1,"Waterfall (incl Linear Processing & SSADM)",380
14715,Communication,Telecommunications,"Online. eSales",Enhancement,Multi,3GL,Java,62,790,648,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Online. eSales",12,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
14758,Insurance,Insurance,"Financial transaction process/accounting",Enhancement,Multi,3GL,"Visual Basic",97,3862,3592,-1,DB2/400,"Waterfall (incl Linear Processing & SSADM)",-1,Insurance,53,Insurance,53,"Financial transaction process/accounting",187,Multi,281,3GL,330,"Visual Basic",19,DB2/400,4,"Waterfall (incl Linear Processing & SSADM)",380
14764,Banking,Banking,"Management Information System",Enhancement,MF,3GL,COBOL,57,1179,1179,-1,IMS,"Waterfall (incl Linear Processing & SSADM)",-1,Banking,19,Banking,19,"Management Information System",9,MF,78,3GL,330,COBOL,34,IMS,13,"Waterfall (incl Linear Processing & SSADM)",380
14780,Communication,Telecommunications,"Geographic Information System",Enhancement,Multi,3GL,Java,108,671,550,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Geographic Information System",1,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
14879,Communication,Communications,"relatively complex application",Enhancement,MF,3GL,Java,271,3303,3303,-1,Interactive,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Communications,34,"relatively complex application",13,MF,78,3GL,330,Java,177,Interactive,30,"Waterfall (incl Linear Processing & SSADM)",380
14892,Communication,Telecommunications,"Customer relationship management",Enhancement,Multi,3GL,Java,195,2170,1992,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Customer relationship management",33,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
14959,Communication,Telecommunications,"Customer relationship management",Enhancement,Multi,4GL,"Amdocs framework",59,811,668,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Customer relationship management",33,Multi,281,4GL,61,"Amdocs framework",8,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
14968,"Medical & Health Care","Medical and Health Care","Financial transaction process/accounting",Enhancement,Multi,3GL,Java,21,141,120,7,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,"Medical & Health Care",57,"Medical and Health Care",57,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
14972,Insurance,Insurance,"Sales contact management","New Development",MF,3GL,COBOL,236,7704,5778,-1,IMS,"Waterfall (incl Linear Processing & SSADM)",-1,Insurance,53,Insurance,53,"Sales contact management",3,MF,78,3GL,330,COBOL,34,IMS,13,"Waterfall (incl Linear Processing & SSADM)",380
15008,Communication,Telecommunications,"Financial application area","New Development",Multi,3GL,Java,116,626,626,-1,Interactive,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Financial application area",12,Multi,281,3GL,330,Java,177,Interactive,30,"Waterfall (incl Linear Processing & SSADM)",380
15009,Communication,Communications,"relatively complex application",Enhancement,Multi,3GL,Java,14,434,434,-1,Interactive,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Communications,34,"relatively complex application",13,Multi,281,3GL,330,Java,177,Interactive,30,"Waterfall (incl Linear Processing & SSADM)",380
15047,Financial,"Financial, Property & Business Services","Financial transaction process/accounting",Enhancement,MF,4GL,PowerBuilder,60,304,304,-1,Interactive,"Waterfall (incl Linear Processing & SSADM)",-1,Financial,18,"Financial, Property & Business Services",17,"Financial transaction process/accounting",187,MF,78,4GL,61,PowerBuilder,3,Interactive,30,"Waterfall (incl Linear Processing & SSADM)",380
15123,Insurance,Insurance,"Financial transaction process/accounting","New Development",MR,3GL,Java,775,5592,5200,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Insurance,53,Insurance,53,"Financial transaction process/accounting",187,MR,18,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
15149,Communication,Telecommunications,"Customer relationship management",Enhancement,Multi,3GL,Java,167,473,388,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Customer relationship management",33,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
15197,Government,Government,"Job, case, incident, project management",Re-development,PC,3GL,C#,253,12601,11719,13,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Government,27,Government,19,"Job, case, incident, project management",2,PC,23,3GL,330,C#,10,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
15211,Insurance,Insurance,"Financial transaction process/accounting",Enhancement,Multi,3GL,Java,146,1770,1451,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Insurance,53,Insurance,53,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
15240,Banking,Banking,"Management system","New Development",MF,3GL,PL/I,228,8631,8027,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Banking,19,Banking,19,"Management system",2,MF,78,3GL,330,PL/I,16,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
15351,Communication,Communications,"Telecom & network management",Enhancement,Multi,3GL,C,468,10498,8713,28,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Communications,34,"Telecom & network management",2,Multi,281,3GL,330,C,13,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
15371,Communication,Communications,"relatively complex application",Enhancement,Multi,3GL,Java,372,8604,8604,-1,Interactive,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Communications,34,"relatively complex application",13,Multi,281,3GL,330,Java,177,Interactive,30,"Waterfall (incl Linear Processing & SSADM)",380
15402,Communication,Telecommunications,"Financial transaction process/accounting","New Development",Multi,3GL,"Visual Basic",224,2444,2444,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",33500,Communication,189,Telecommunications,150,"Financial transaction process/accounting",187,Multi,281,3GL,330,"Visual Basic",19,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
15409,Insurance,Insurance,"Financial transaction process/accounting",Enhancement,Multi,3GL,Java,132,418,343,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Insurance,53,Insurance,53,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
15436,Communication,Telecommunications,"Financial transaction process/accounting","New Development",Multi,4GL,.Net,95,474,380,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Financial transaction process/accounting",187,Multi,281,4GL,61,.Net,4,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
15489,Communication,Telecommunications,Integration,Enhancement,Multi,3GL,TIBCO,72,3407,2794,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,Integration,5,Multi,281,3GL,330,TIBCO,6,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
15561,Financial,"Financial, Property & Business Services","Financial transaction process/accounting",Enhancement,MF,3GL,"Shell, C",112,1597,1597,-1,Interactive,"Waterfall (incl Linear Processing & SSADM)",-1,Financial,18,"Financial, Property & Business Services",17,"Financial transaction process/accounting",187,MF,78,3GL,330,"Shell, C",2,Interactive,30,"Waterfall (incl Linear Processing & SSADM)",380
15593,Communication,Telecommunications,"Content Management",Enhancement,Multi,3GL,Java,163,2064,1701,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Content Management",1,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
15622,"Medical & Health Care","Medical and Health Care","Financial transaction process/accounting",Enhancement,Multi,3GL,Java,114,15480,15480,91,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,"Medical & Health Care",57,"Medical and Health Care",57,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
15670,Insurance,Insurance,"Financial transaction process/accounting",Enhancement,Multi,3GL,PL/SQL,56,90,83,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Insurance,53,Insurance,53,"Financial transaction process/accounting",187,Multi,281,3GL,330,PL/SQL,19,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
15689,Communication,Telecommunications,"Customer relationship management",Enhancement,Multi,4GL,"Amdocs framework",135,2184,1800,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Customer relationship management",33,Multi,281,4GL,61,"Amdocs framework",8,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
15724,Communication,Telecommunications,"Online. eSales",Enhancement,Multi,3GL,Java,77,488,400,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Online. eSales",12,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
15732,Communication,Telecommunications,"Customer relationship management",Enhancement,Multi,3GL,Java,212,2849,2616,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Customer relationship management",33,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
15733,"Medical & Health Care","Medical and Health Care","Financial transaction process/accounting",Enhancement,Multi,3GL,Java,87,4820,4820,21,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,"Medical & Health Care",57,"Medical and Health Care",57,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
15745,Communication,Telecommunications,"Financial transaction process/accounting",Enhancement,Multi,3GL,Java,76,37,37,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
15823,Government,Government,"Management of Licences and Permits",Enhancement,MF,ApG,COOL:Gen,251,4093,3725,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Government,27,Government,19,"Management of Licences and Permits",8,MF,78,ApG,9,COOL:Gen,7,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
15850,"Medical & Health Care","Medical and Health Care","Financial transaction process/accounting",Enhancement,Multi,3GL,Java,4,494,395,9,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,"Medical & Health Care",57,"Medical and Health Care",57,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
15947,"Medical & Health Care","Medical and Health Care","Financial transaction process/accounting",Enhancement,Multi,3GL,Java,7,1466,953,7,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,"Medical & Health Care",57,"Medical and Health Care",57,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
16165,Government,Government,"Management of Licences and Permits",Enhancement,MF,ApG,COOL:Gen,155,3864,3516,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Government,27,Government,19,"Management of Licences and Permits",8,MF,78,ApG,9,COOL:Gen,7,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
16185,Financial,"Financial, Property & Business Services","Financial transaction process/accounting",Enhancement,MF,4GL,Oracle,89,2823,2823,-1,Interactive,"Waterfall (incl Linear Processing & SSADM)",-1,Financial,18,"Financial, Property & Business Services",17,"Financial transaction process/accounting",187,MF,78,4GL,61,Oracle,12,Interactive,30,"Waterfall (incl Linear Processing & SSADM)",380
16190,Government,Government,"Management of Licences and Permits",Enhancement,MF,ApG,COOL:Gen,53,927,686,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Government,27,Government,19,"Management of Licences and Permits",8,MF,78,ApG,9,COOL:Gen,7,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
16191,Communication,Telecommunications,"Online. eSales",Enhancement,Multi,3GL,Java,105,2020,1656,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Online. eSales",12,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
16196,Government,"Public AdministrationCommunity ServicesInsurance","Transaction/Production System","New Development",MF,3GL,COBOL,57,623,623,4,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Government,27,"Public AdministrationCommunity ServicesInsurance",3,"Transaction/Production System",24,MF,78,3GL,330,COBOL,34,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
16232,Communication,Telecommunications,"Financial transaction process/accounting","New Development",Multi,3GL,Java,759,1100,110,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
16330,Insurance,Insurance,"Financial transaction process/accounting",Enhancement,Multi,3GL,Mixed,56,138,127,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Insurance,53,Insurance,53,"Financial transaction process/accounting",187,Multi,281,3GL,330,Mixed,5,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
16431,"Medical & Health Care","Medical and Health Care","Financial transaction process/accounting",Enhancement,Multi,3GL,Java,72,9957,9957,60,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,"Medical & Health Care",57,"Medical and Health Care",57,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
16439,"Medical & Health Care","Medical and Health Care","Financial transaction process/accounting",Enhancement,Multi,3GL,Java,10,2188,2188,39,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,"Medical & Health Care",57,"Medical and Health Care",57,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
16466,"Service Industry","GovernmentCommunity Services","Management or performance reportingComplex process control",Enhancement,PC,3GL,"Visual Basic",245,1149,1149,5,"MS SQL","Waterfall (incl Linear Processing & SSADM)",-1,"Service Industry",9,"GovernmentCommunity Services",3,"Management or performance reportingComplex process control",1,PC,23,3GL,330,"Visual Basic",19,"MS SQL",1,"Waterfall (incl Linear Processing & SSADM)",380
16467,Communication,Telecommunications,"Financial transaction process/accounting","New Development",Multi,4GL,SQL,693,12510,12510,9,DB2,"Waterfall (incl Linear Processing & SSADM)",146000,Communication,189,Telecommunications,150,"Financial transaction process/accounting",187,Multi,281,4GL,61,SQL,7,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
16525,Communication,Maintenance,Maintenance,Enhancement,MF,3GL,C++,283,13716,13716,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Maintenance,2,Maintenance,2,MF,78,3GL,330,C++,11,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
16534,Communication,Telecommunications,"Online. eSales",Enhancement,Multi,3GL,Java,107,2332,1912,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Online. eSales",12,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
16645,Communication,Communications,"Transaction/Production System",Enhancement,MR,4GL,Oracle,222,2007,1666,6,Oracle,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Communications,34,"Transaction/Production System",24,MR,18,4GL,61,Oracle,12,Oracle,21,"Waterfall (incl Linear Processing & SSADM)",380
16682,Financial,"GovernmentFinancial, Property & Business Services","Financial transaction process/accounting",Enhancement,Multi,4GL,SQL,169,778,778,3,SQL,"Waterfall (incl Linear Processing & SSADM)",-1,Financial,18,"GovernmentFinancial, Property & Business Services",1,"Financial transaction process/accounting",187,Multi,281,4GL,61,SQL,7,SQL,1,"Waterfall (incl Linear Processing & SSADM)",380
16685,Financial,"Financial, Property & Business Services","Office Automation System",Enhancement,PC,3GL,C++,1317,13353,13353,-1,Oracle,"Joint Application Development (JAD)",-1,Financial,18,"Financial, Property & Business Services",17,"Office Automation System",1,PC,23,3GL,330,C++,11,Oracle,21,"Joint Application Development (JAD)",2
16701,Banking,Banking,"Financial transaction process/accounting",Enhancement,MF,3GL,PL/I,30,1037,965,-1,IMS,"Waterfall (incl Linear Processing & SSADM)",-1,Banking,19,Banking,19,"Financial transaction process/accounting",187,MF,78,3GL,330,PL/I,16,IMS,13,"Waterfall (incl Linear Processing & SSADM)",380
16766,Communication,Communications,"relatively complex application",Enhancement,Multi,3GL,Java,57,727,727,-1,Interactive,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Communications,34,"relatively complex application",13,Multi,281,3GL,330,Java,177,Interactive,30,"Waterfall (incl Linear Processing & SSADM)",380
16771,"Wholesale & Retail",Billing,Billing,Enhancement,Multi,3GL,C++,137,7862,7862,-1,Oracle,"Waterfall (incl Linear Processing & SSADM)",-1,"Wholesale & Retail",5,Billing,1,Billing,1,Multi,281,3GL,330,C++,11,Oracle,21,"Waterfall (incl Linear Processing & SSADM)",380
16819,Insurance,Insurance,"Financial transaction process/accounting",Enhancement,Multi,3GL,Java,121,945,775,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Insurance,53,Insurance,53,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
16843,Communication,Telecommunications,"Data or database management",Enhancement,Multi,3GL,Unknown,333,2175,1792,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Data or database management",2,Multi,281,3GL,330,Unknown,2,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
16875,Government,GovernmentDefence,Reporting,Enhancement,MF,3GL,COBOL,37,774,774,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Government,27,GovernmentDefence,2,Reporting,2,MF,78,3GL,330,COBOL,34,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
16886,Communication,Telecommunications,"Financial application area","New Development",Multi,3GL,Java,88,440,440,-1,Interactive,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Financial application area",12,Multi,281,3GL,330,Java,177,Interactive,30,"Waterfall (incl Linear Processing & SSADM)",380
16889,Manufacturing,Manufacturing,"Financial transaction process/accounting","New Development",PC,3GL,Java,177,1946,1946,7,Oracle,"Waterfall (incl Linear Processing & SSADM)",-1,Manufacturing,12,Manufacturing,8,"Financial transaction process/accounting",187,PC,23,3GL,330,Java,177,Oracle,21,"Waterfall (incl Linear Processing & SSADM)",380
16932,Communication,Telecommunications,"Customer relationship management",Enhancement,Multi,3GL,Java,188,1298,1064,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Customer relationship management",33,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
16963,Communication,Telecommunications,"Customer relationship management",Enhancement,Multi,3GL,"Visual Basic",87,1280,1050,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Customer relationship management",33,Multi,281,3GL,330,"Visual Basic",19,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
16997,Insurance,Insurance,"Financial transaction process/accounting",Enhancement,MF,3GL,COBOL,151,3540,2655,-1,IMS,"Waterfall (incl Linear Processing & SSADM)",-1,Insurance,53,Insurance,53,"Financial transaction process/accounting",187,MF,78,3GL,330,COBOL,34,IMS,13,"Waterfall (incl Linear Processing & SSADM)",380
17078,Communication,Telecommunications,"Data Warehouse",Enhancement,Multi,3GL,Shell,100,1093,896,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Data Warehouse",10,Multi,281,3GL,330,Shell,5,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
17117,Insurance,Insurance,"Financial transaction process/accounting",Enhancement,Multi,4GL,NATURAL,86,273,224,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Insurance,53,Insurance,53,"Financial transaction process/accounting",187,Multi,281,4GL,61,NATURAL,4,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
17172,Insurance,Insurance,"Financial transaction process/accounting",Enhancement,Multi,4GL,"Visual Fox",138,1240,1138,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Insurance,53,Insurance,53,"Financial transaction process/accounting",187,Multi,281,4GL,61,"Visual Fox",1,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
17184,Government,Government,"Management or performance reporting",Enhancement,Multi,3GL,C#,331,3806,3806,9,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Government,27,Government,19,"Management or performance reporting",3,Multi,281,3GL,330,C#,10,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
17222,Insurance,Insurance,"Financial transaction process/accounting",Enhancement,Multi,3GL,Java,50,159,130,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Insurance,53,Insurance,53,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
17246,Communication,Telecommunications,"Financial transaction process/accounting",Enhancement,MF,3GL,COBOL,27,993,993,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Financial transaction process/accounting",187,MF,78,3GL,330,COBOL,34,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
17279,Communication,Telecommunications,"Other: Online. eSales",Enhancement,Multi,4GL,"html / jsp",70,847,698,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Other: Online. eSales",1,Multi,281,4GL,61,"html / jsp",1,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
17287,Communication,Local,Local,Enhancement,Multi,3GL,COBOL,154,4251,4251,-1,Oracle,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Local,2,Local,1,Multi,281,3GL,330,COBOL,34,Oracle,21,"Waterfall (incl Linear Processing & SSADM)",380
17308,"Medical & Health Care","Medical and Health Care","Financial transaction process/accounting",Enhancement,Multi,3GL,Java,4,380,346,10,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,"Medical & Health Care",57,"Medical and Health Care",57,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
17429,"Medical & Health Care","Medical and Health Care","Financial transaction process/accounting",Enhancement,Multi,3GL,Java,19,3722,3722,70,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,"Medical & Health Care",57,"Medical and Health Care",57,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
17455,Communication,Telecommunications,"Financial transaction process/accounting",Enhancement,Multi,3GL,Java,366,7359,7359,-1,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Telecommunications,150,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
17498,Communication,Communications,"Financial transaction process/accounting",Enhancement,Multi,3GL,Java,49,966,802,2,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Communications,34,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
17584,"Medical & Health Care","Medical and Health Care","Financial transaction process/accounting",Enhancement,Multi,3GL,Java,25,302,275,14,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,"Medical & Health Care",57,"Medical and Health Care",57,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
17594,"Service Industry","Transport & Storage","Logistic or supply planning & control",Enhancement,Multi,4GL,SQL,497,2208,2208,-1,Oracle,"Waterfall (incl Linear Processing & SSADM)",-1,"Service Industry",9,"Transport & Storage",1,"Logistic or supply planning & control",2,Multi,281,4GL,61,SQL,7,Oracle,21,"Waterfall (incl Linear Processing & SSADM)",380
17603,"Medical & Health Care","Medical and Health Care","Financial transaction process/accounting",Enhancement,Multi,3GL,Java,12,1056,380,14,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,"Medical & Health Care",57,"Medical and Health Care",57,"Financial transaction process/accounting",187,Multi,281,3GL,330,Java,177,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
17639,Communication,Communications,"Transaction/Production System",Enhancement,MR,4GL,Oracle,115,2802,2326,9,Oracle,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Communications,34,"Transaction/Production System",24,MR,18,4GL,61,Oracle,12,Oracle,21,"Waterfall (incl Linear Processing & SSADM)",380
17663,Communication,Communications,"Transaction/Production System",Enhancement,Multi,3GL,COBOL,763,4272,3546,8,DB2,"Waterfall (incl Linear Processing & SSADM)",-1,Communication,189,Communications,34,"Transaction/Production System",24,Multi,281,3GL,330,COBOL,34,DB2,287,"Waterfall (incl Linear Processing & SSADM)",380
