pryid,indsct,orgtyp,apptyp,dvltyp,dvlplt,lngtyp,prglng1,fncsze,nwell1,smmwrkeff,maxteasze,dbms1,dvlmtd,loc,conteodvltyp
25438,189,150,33,Enhancement,281,330,2,135,2283,2096,-1,287,380,-1,323
25461,57,57,187,Enhancement,281,330,177,17,1317,1317,28,287,380,-1,323
25509,189,34,13,Enhancement,281,330,177,256,1231,1231,-1,30,380,-1,323
25516,189,150,4,Enhancement,281,330,19,65,573,472,-1,287,380,-1,323
25543,189,150,1,Enhancement,23,61,3,287,3893,3543,-1,4,380,-1,323
25618,27,19,1,"New Development",281,330,10,298,13489,13489,24,287,380,-1,74
25641,12,2,1,"New Development",23,61,7,776,1847,1718,-1,1,380,-1,74
25786,189,150,8,Enhancement,281,330,177,537,5717,4688,-1,287,380,-1,323
25885,19,19,187,Enhancement,78,330,16,36,129,120,-1,2,380,-1,323
25916,189,1,1,Re-development,23,330,11,657,21590,17920,16,1,2,-1,3
25926,27,3,24,Enhancement,78,330,34,601,1193,1193,11,287,2,-1,323
25931,53,53,33,Enhancement,23,330,177,70,1241,1018,6,287,3,3000,323
25975,3,1,1,"New Development",78,61,7,605,752,752,3,287,380,-1,74
25979,53,53,187,Enhancement,78,330,177,1148,48083,13944,-1,1,380,-1,323
26007,189,150,33,Enhancement,281,330,177,547,4967,4560,-1,287,380,-1,323
26047,189,150,187,Enhancement,281,330,177,79,2451,2451,-1,287,380,-1,323
26096,189,150,187,Enhancement,78,330,34,90,3261,3261,-1,287,380,-1,323
26105,57,57,187,Enhancement,281,330,177,57,3746,3746,57,287,380,-1,323
26137,57,57,187,Enhancement,281,330,177,91,3667,3667,67,287,380,-1,323
26156,27,19,1,"New Development",281,330,10,313,5613,5613,9,287,380,-1,74
26187,189,150,33,Enhancement,281,330,19,82,1461,1198,-1,287,380,-1,323
26199,189,34,13,Enhancement,78,330,177,17,458,458,-1,6,380,-1,323
26274,189,150,12,Enhancement,281,330,177,116,1590,1304,-1,287,380,-1,323
26284,189,34,2,Enhancement,78,330,34,143,705,705,3,287,380,-1,323
26290,57,57,187,Enhancement,281,330,177,35,8581,7294,53,287,380,-1,323
26315,53,53,187,Enhancement,281,330,177,203,1963,1610,-1,287,380,-1,323
26339,5,1,1,"New Development",78,9,2,511,3500,3500,-1,1,380,-1,74
26391,189,150,10,Enhancement,281,330,19,105,383,352,-1,287,380,-1,323
26457,53,53,187,Enhancement,281,330,177,128,952,781,-1,287,380,-1,323
26470,12,8,5,"New Development",281,330,19,236,1350,1350,-1,1,380,-1,74
26513,189,150,33,Enhancement,281,330,19,89,2159,1770,-1,287,380,-1,323
26537,53,53,187,Enhancement,78,330,34,374,5072,5072,-1,4,380,-1,323
26575,53,53,187,Enhancement,281,330,19,57,302,248,-1,287,380,-1,323
26604,57,57,187,Enhancement,281,330,177,23,4747,4747,85,287,380,-1,323
26738,57,57,187,Enhancement,281,330,177,28,7015,7015,64,287,380,-1,323
26765,189,34,9,Enhancement,18,330,177,475,2934,2435,4,21,1,-1,323
26888,53,53,187,Enhancement,281,330,19,72,772,633,-1,287,380,-1,323
26895,189,150,187,Enhancement,18,330,11,29,203,203,-1,287,380,-1,323
26925,57,57,187,Enhancement,281,330,177,7,771,686,26,287,380,-1,323
26994,27,2,2,Enhancement,78,330,34,26,538,538,-1,287,380,-1,323
26997,53,53,1,Enhancement,18,61,1,169,1327,1208,5,287,3,-1,323
27060,18,17,24,"New Development",78,330,177,2906,37320,37320,-1,287,5,-1,74
27151,189,150,33,Enhancement,281,330,19,324,1063,872,-1,287,380,-1,323
27171,189,150,12,Enhancement,281,61,177,38,327,327,-1,30,380,-1,323
27245,57,57,187,Enhancement,281,330,177,36,2020,1414,13,287,380,-1,323
27357,189,34,24,"New Development",18,330,177,796,5864,4867,14,21,2,-1,74
27361,189,150,2,Enhancement,281,330,2,420,539,444,-1,287,380,-1,323
27423,53,53,187,Enhancement,281,330,19,50,193,177,-1,287,380,-1,323
27574,189,150,187,Enhancement,281,330,177,503,482,482,3,287,380,-1,323
27727,189,34,24,"New Development",281,330,1,128,5960,4947,15,287,380,-1,74
27743,57,57,187,Enhancement,281,330,177,12,8062,8062,75,287,380,-1,323
27745,57,57,187,Enhancement,281,330,177,50,20092,20092,135,287,380,-1,323
27858,189,150,4,Enhancement,281,330,19,180,1408,1160,-1,287,380,-1,323
