PryId,IndSct,OrgTyp,AppTyp,DvlTyp,DvlPlt,LngTyp,PrgLng1,FncSze,NWELL1,SmmWrkEff,PrjElpTme,MaxTeaSze,DBMS1,DvlMtd,LOC
Y60093,Manufacturing,Manufacturing,,Enhancement,MF,3GL,PL/I,1062,15972,15972,11,24,IMSDB2LOTUS NOTES,,412409
Y60100,Wholesale & Retail,Ordering,Stock control & order processing,Enhancement,MF,3GL,C,127,7451,7451,-1,-1,,,-1
Y60104,Manufacturing,Manufacturing,Sales contact management,New Development,MR,3GL,Java,473,2000,2000,2,-1,Oracle 8i 8.1.6,Waterfall (incl Linear Processing & SSADM),-1
Y60105,Manufacturing,Manufacturing,,Enhancement,MF,3GL,PL/I,26,4618,4618,8,28,IMS,,4137
Y60106,Government,Public AdministrationCommunity ServicesInsurance,Transaction/Production System,Enhancement,MF,3GL,COBOL,32,300,300,2,2,DB2,,-1
Y60111,,,Transaction/Production System,Enhancement,MF,3GL,COBOL,201,3804,3424,7,7,DB2,,-1
Y60115,Communication,Telecommunications,Customer relationship management,Enhancement,Multi,,,54,654,536,3,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60117,Banking,Banking,Financial transaction process/accounting,New Development,MR,3GL,HTML,190,4282,3982,15,-1,HiRDB,Waterfall (incl Linear Processing & SSADM),-1
Y60120,Government,Public AdministrationCommunity ServicesInsurance,Transaction/Production System,New Development,MF,3GL,COBOL,138,2038,2038,3,5,DB2,,-1
Y60123,Insurance,Insurance,Unknown,Enhancement,,,,84,213,175,2,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60128,Insurance,Insurance,Unknown,Enhancement,,3GL,Java,238,1751,1436,8,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60137,Wholesale & Retail,Ordering,Stock control & order processing,Enhancement,,3GL,C++,73,3934,3934,-1,-1,,,-1
Y60141,Government,Government,Catalogue/register of things or eventsOnline analysis and reporting,Enhancement,MF,3GL,PL/I,198,2119,2119,10,5,DB2,,-1
Y60144,Communication,Telecommunications,Online. eSales,Enhancement,Multi,,,107,732,600,1,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60145,,,Financial application area,Enhancement,Multi,3GL,Java,9,51,51,1,-1,Interactive,,-1
Y60147,Communication,Communications,relatively complex application,Enhancement,MF,3GL,,15,559,559,-1,-1,Batch,Waterfall (incl Linear Processing & SSADM),-1
Y60149,Electronics & Computers,Computers & Software,Utility,New Development,PC,4GL,DELPHI,658,1052,1052,5,2,,Rapid Application Development (RAD),-1
Y60158,,,Office Automation System,New Development,MR,,Brightware proprietary,51,1690,1200,14,2,Oracle,,-1
Y60160,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,18,458,357,16,14,,,-1
Y60170,Communication,Telecommunications,Customer billing,Enhancement,,,,151,2080,1910,5,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60171,Communication,Telecommunications,Customer relationship management,Enhancement,,4GL,Amdocs framework,70,524,432,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60173,,,,Enhancement,MR,3GL,Visual Basic,15,470,470,2,-1,,,-1
Y60177,Communication,Communications,Transaction/Production System,Enhancement,MR,3GL,LEX,80,1251,1038,4,7,OBJECTSTOR,,-1
Y60194,Banking,Banking,Office Information System,New Development,MF,3GL,COBOL,301,3631,3631,12,5,IMS,,-1
Y60205,Communication,Telecommunications,Online. eSales,Enhancement,Multi,,,52,546,448,3,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60213,Insurance,Insurance,,Enhancement,,,Mixed,74,491,451,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60219,Communication,Telecommunications,Customer relationship management,Enhancement,,3GL,Java,84,1072,984,6,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60222,Communication,Communications,relatively complex application,Enhancement,Multi,4GL,,385,9865,9865,-1,-1,Interactive,Waterfall (incl Linear Processing & SSADM),-1
Y60236,Insurance,Insurance,Unknown,Enhancement,,,,83,238,195,2,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60259,Communication,Communications,relatively complex application,Enhancement,Multi,3GL,,41,805,805,-1,-1,Interactive,Waterfall (incl Linear Processing & SSADM),-1
Y60260,Communication,Telecommunications,Customer relationship management,Enhancement,,3GL,Java,1758,22080,20272,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60269,,,,New Development,,4GL,.Net,134,2076,1665,2,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60272,Communication,Communications,Transaction/Production System,New Development,MR,4GL,ABAP,1801,52172,43303,7,49,Oracle,Rapid Application Development (RAD),-1
Y60276,Communication,Telecommunications,Online. eSales,Enhancement,Multi,,,185,6654,5456,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60285,Communication,Telecommunications,Customer relationship management,Enhancement,Multi,,,105,1522,1248,3,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60288,Communication,Telecommunications,Customer billing,Enhancement,Multi,3GL,PYTHON,60,790,648,8,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60295,Government,Government,Management of Licences and Permits,Enhancement,MF,ApG,COOL:Gen,200,3721,3721,8,-1,,,-1
Y60297,Wholesale & Retail,E-Business,E-Business,Enhancement,,3GL,HTML,244,1080,1080,-1,-1,,,-1
Y60299,Manufacturing,Manufacturing,Transaction/Production System,New Development,MF,3GL,Visual Basic,53,1620,1053,-1,-1,Yes,,-1
Y60306,Insurance,Insurance,,Enhancement,,,Mixed,69,139,128,2,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60310,Insurance,Insurance,Customer billing/relationship management,New Development,Multi,3GL,Visual Basic,12,558,312,4,-1,No,Waterfall (incl Linear Processing & SSADM),-1
Y60313,,,Financial transaction process/accounting,New Development,Multi,3GL,Visual Basic,225,546,546,4,-1,Oracle,Waterfall (incl Linear Processing & SSADM),-1
Y60316,Communication,Telecommunications,Customer relationship management,Enhancement,Multi,4GL,Siebel,54,902,740,-1,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60317,Insurance,Insurance,,Enhancement,,,Mixed,265,496,455,11,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60321,Communication,Telecommunications,Customer relationship management,Enhancement,,3GL,Java,436,7171,6584,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60324,Insurance,Insurance,Unknown,Enhancement,,3GL,PL/SQL,101,368,302,1,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60333,Insurance,Insurance,Unknown,Enhancement,,4GL,Oracle,101,1095,898,5,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60336,Communication,Telecommunications,Financial transaction process/accounting,Enhancement,,3GL,Visual Basic 6.0,63,233,192,2,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60337,Communication,Telecommunications,GEO Information Management,Enhancement,Multi,3GL,Java,130,3161,2592,5,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60341,Insurance,Insurance,Unknown,Enhancement,,,,63,959,786,2,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60344,Government,Government,Government,New Development,PC,4GL,DELPHI,364,696,696,2,3,,Rapid Application Development (RAD),-1
Y60350,Communication,Telecommunications,Stock control & order processing,Enhancement,Multi,3GL,Java,339,3487,2859,7,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60352,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,34,706,706,8,29,,,-1
Y60358,Insurance,Insurance,,Enhancement,,3GL,PL/SQL,105,78,72,1,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60360,Government,Government,Management of Licences and Permits,Enhancement,MF,ApG,COOL:Gen,151,937,937,13,-1,,,-1
Y60366,,,Transaction/Production System,New Development,MF,2GL,Assembler,115,1828,1828,13,3,DB2VSAMDL/I,,-1
Y60367,Communication,CommunicationsComputers & Software,Management or performance reportingElectronic Data Interchange,New Development,Multi,4GL,Access,80,707,707,2,5,,,-1
Y60371,Communication,Media,Document management,New Development,PC,4GL,Visual C++,902,11140,10360,14,-1,Oracle 8.1,Waterfall (incl Linear Processing & SSADM),-1
Y60375,Insurance,Insurance,Financial transaction process/accounting,Enhancement,Multi,3GL,Visual Basic,180,9292,9292,3,-1,ISAM,Waterfall (incl Linear Processing & SSADM),-1
Y60376,,,Transaction/Production System,Enhancement,MF,3GL,CICS,143,3347,3012,9,3,DB2VSAM,,-1
Y60378,Government,Government,Handling payment of social pensions within government,Enhancement,Multi,3GL,PL/I,374,13288,13288,12,17,DB2,,-1
Y60380,Communication,Telecommunications,Customer relationship management,Enhancement,Multi,,,109,898,736,5,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60382,Service Industry,Community ServicesInvoice-handling,Catalogue/register of things or eventsFinancial transaction process/accountingElectronic Data Interchange,Enhancement,Multi,3GL,Visual Basic,361,13151,13151,24,23,DB2,,-1
Y60385,Government,Government,Catalogue/register of things or eventsDocument management,New Development,Multi,3GL,Java,260,4184,4184,9,15,Oracle,,-1
Y60388,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,43,7738,6577,12,35,,,-1
Y60390,Insurance,Insurance,Unknown,Enhancement,,,,93,840,689,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60394,Government,GovernmentDefence,Financial transaction process/accounting,Enhancement,MF,3GL,COBOL,13,229,229,12,-1,,,-1
Y60398,,,,Enhancement,,4GL,Oracle,51,536,536,4,-1,,,-1
Y60404,Communication,Telecommunications,Customer relationship management,Enhancement,,3GL,Java,155,1178,1082,3,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60409,Insurance,Insurance,Financial transaction process/accounting,Enhancement,MR,3GL,Java,18,2803,2803,3,-1,DB2 UDB,Waterfall (incl Linear Processing & SSADM),-1
Y60418,,,Transaction/Production System,Enhancement,MF,3GL,CICS,204,2501,1776,8,2,DB2VSAM,,-1
Y60419,Communication,Telecommunications,Billing and ERP,Enhancement,Multi,3GL,Java,167,1122,920,5,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60420,Insurance,Insurance,Financial transaction process/accounting,New Development,MF,3GL,COBOL,157,3436,3436,2,-1,DB2/400,Waterfall (incl Linear Processing & SSADM),-1
Y60421,Communication,Telecommunications,Other,Enhancement,,4GL,ABAP,122,1812,1664,5,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60424,Insurance,Insurance,,Enhancement,,3GL,Java,286,1039,954,3,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60428,Communication,Telecommunications,Online. eSales,Enhancement,Multi,,,111,1249,1024,8,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60430,Banking,Banking,Management Information System,New Development,MF,3GL,Visual Basic,385,2761,2761,7,7,ACCESSIMSDB2,,-1
Y60433,Communication,Telecommunications,Customer relationship management,Enhancement,,,ClearBasic,82,1031,850,6,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60435,,,,Enhancement,,3GL,C,747,3108,3108,9,3,,,60000
Y60442,Insurance,Insurance,Financial transaction process/accounting,New Development,MF,3GL,COBOL,258,11628,8605,5,-1,IMS,Waterfall (incl Linear Processing & SSADM),-1
Y60443,Banking,Banking,Transaction/Production System,New Development,MF,3GL,COBOL,124,616,616,4,2,IMS,,-1
Y60444,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,9,995,995,13,22,,,-1
Y60450,,,Electronic Data Interchange,Enhancement,MF,3GL,COBOL,151,7317,5927,20,7,DB2,,-1
Y60459,Insurance,Insurance,Financial transaction process/accounting,New Development,MF,3GL,COBOL,11,764,711,4,-1,IMS,Waterfall (incl Linear Processing & SSADM),-1
Y60471,Communication,Communications,Transaction/Production System,Enhancement,MR,3GL,Visual Basic,261,2639,2639,6,8,Oracle,Rapid Application Development (RAD),-1
Y60477,Manufacturing,Manufacturing,Document management,New Development,Multi,3GL,Visual Basic,177,1570,1570,2,-1,Oracle 8.1.6,Waterfall (incl Linear Processing & SSADM),-1
Y60482,,,Telecom & network management,Enhancement,,3GL,C,527,1621,1621,-1,-1,,,-1
Y60485,Manufacturing,Manufacturing,ERP,New Development,PC,4GL,DELPHI,414,466,466,9,1,,Rapid Application Development (RAD),-1
Y60486,,,,New Development,,3GL,Object oriented language,446,1862,1862,8,2,,,9000
Y60487,Communication,Communications,relatively complex application,Enhancement,Multi,4GL,,11,429,429,-1,-1,Interactive,Waterfall (incl Linear Processing & SSADM),-1
Y60490,,,,New Development,,3GL,C,254,28760,28760,17,80,,,300000
Y60495,Communication,Telecommunications,Customer relationship management,Enhancement,,3GL,Java,105,540,496,3,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60497,Communication,Communications,relatively complex application,Enhancement,MF,3GL,,95,4092,4092,-1,-1,Batch,Waterfall (incl Linear Processing & SSADM),-1
Y60498,Communication,Telecommunications,Integration,Enhancement,,3GL,TIBCO,218,10121,8299,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60501,,,,Enhancement,,,,416,3800,3800,9,7,,,-1
Y60507,,,,Enhancement,,,,175,471,438,3,4,,,-1
Y60516,,,,Enhancement,,3GL,Unix Shell,67,322,322,3,-1,,,-1
Y60517,Communication,Telecommunications,Online. eSales,Enhancement,Multi,,,107,1022,838,5,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60523,Insurance,Insurance,Unknown,Enhancement,,3GL,PL/SQL,233,971,796,7,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60535,,,,New Development,MF,3GL,RPG,246,2142,1778,4,-1,,,-1
Y60538,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,4,624,568,9,15,,,-1
Y60545,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,7,482,482,11,21,,,-1
Y60547,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,25,5886,5886,20,65,,,-1
Y60554,Communication,Telecommunications,Customer relationship management,Enhancement,,3GL,Visual Basic,104,492,405,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60558,,,Financial application area,Enhancement,Multi,3GL,Java,37,311,311,3,-1,Interactive,,-1
Y60561,Manufacturing,Manufacturing,Financial transaction process/accounting,New Development,Multi,3GL,Visual Basic,2845,28422,28422,10,-1,Oracle 7.3,Waterfall (incl Linear Processing & SSADM),-1
Y60571,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,42,1301,1041,9,14,,,-1
Y60579,Communication,Telecommunications,Customer relationship management,Enhancement,,4GL,Amdocs framework,104,388,320,-1,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60591,,,Financial application area,Enhancement,Multi,3GL,Java,89,908,908,6,-1,Interactive,,-1
Y60595,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,108,7391,7391,13,50,,,-1
Y60596,,,,Enhancement,,4GL,.Net,278,1214,960,2,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60597,Communication,Communications,Management Information System,New Development,,3GL,Java,1290,22045,18297,8,31,,,-1
Y60598,Government,Public AdministrationCommunity ServicesInsurance,Transaction/Production System,Enhancement,MR,,STAFFWARE,167,959,959,4,5,DB2,Joint Application Development (JAD)Rapid Application Development (RAD),-1
Y60601,Insurance,Insurance,Unknown,Enhancement,,3GL,COBOL,71,241,198,1,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60602,,,,Migration,,4GL,Oracle,275,994,786,3,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60610,Communication,Telecommunications,Customer billing,Enhancement,Multi,3GL,C,55,1104,905,5,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60614,,,,New Development,Multi,3GL,Java,650,3672,3048,6,-1,,,-1
Y60620,Manufacturing,Manufacturing,Financial transaction process/accounting,New Development,Multi,3GL,Visual Basic,2509,19989,19989,10,-1,Oracle 7.3,Waterfall (incl Linear Processing & SSADM),-1
Y60621,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,12,340,320,3,16,,,-1
Y60623,,,,Enhancement,,3GL,,162,1092,1092,3,4,,,-1
Y60633,Communication,Telecommunications,Human Resources,Enhancement,,4GL,ABAP 4,148,3012,2482,6,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60634,Insurance,Insurance,Unknown,Enhancement,,,,53,866,710,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60638,Communication,Communications,relatively complex application,Enhancement,Multi,4GL,,262,5729,5729,-1,-1,Interactive,Waterfall (incl Linear Processing & SSADM),-1
Y60645,Communication,Telecommunications,Other,Enhancement,,3GL,Java,103,746,615,1,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60655,Manufacturing,Manufacturing,Customer billing/relationship management,New Development,Multi,3GL,Visual Basic,1015,3973,3695,2,-1,Oracle,Waterfall (incl Linear Processing & SSADM),-1
Y60662,Communication,Communications,relatively complex application,Enhancement,Multi,3GL,,99,1761,1761,-1,-1,Interactive,Waterfall (incl Linear Processing & SSADM),-1
Y60663,Manufacturing,Manufacturing,Sales contact management,New Development,MF,3GL,RPG,381,816,816,2,-1,DB2/400,Waterfall (incl Linear Processing & SSADM),-1
Y60670,Insurance,Insurance,,Enhancement,,,Mixed,60,200,184,2,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60677,Electronics & Computers,Computers & Software,Complex process control,New Development,PC,4GL,Lotus Notes,828,3742,3368,5,4,DB2,,-1
Y60696,Government,Government,Mathematical modelling (finance or eng.)Online analysis and reporting,Re-development,Multi,4GL,ABAP,489,3907,3907,19,6,DB2,,-1
Y60701,Banking,Banking,Office Information System,New Development,MF,4GL,EASYTRIEVE,95,1231,1231,7,10,IMS,,-1
Y60704,Communication,Communications,Transaction/Production System,Enhancement,,4GL,ADS/Online,149,828,687,3,3,,,-1
Y60713,Communication,Telecommunications,Customer relationship management,Enhancement,,4GL,Amdocs framework,67,1365,1125,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60725,Communication,Telecommunications,Customer relationship management,Enhancement,,3GL,Java,150,1961,1800,8,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60730,Insurance,Insurance,Trading,New Development,PC,3GL,Java,94,1830,1830,3,-1,Yes,Waterfall (incl Linear Processing & SSADM),-1
Y60734,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,7,1152,1025,9,32,,,-1
Y60735,,,Decision Support System,New Development,MF,3GL,CICS,231,7104,5044,8,6,DB2,,-1
Y60758,Communication,Telecommunications,Online. eSales,Enhancement,Multi,,,113,1024,840,-1,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60759,Communication,Telecommunications,Stock control & order processing,Enhancement,Multi,3GL,Java,63,1130,927,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60770,Wholesale & Retail,Consumer Goods,Fixed asset,Enhancement,MR,4GL,ABAP,1160,16960,16960,7,-1,Oracle 8,Waterfall (incl Linear Processing & SSADM),-1
Y60772,Communication,Communications,Management Information System,New Development,MF,4GL,SAS,957,13720,11388,12,25,VMS,,-1
Y60776,Communication,Telecommunications,Online. eSales,Enhancement,Multi,,,51,988,810,3,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60786,Communication,Telecommunications,Data Warehouse,Enhancement,Multi,3GL,Shell,69,693,568,10,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60790,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,3,931,847,11,23,,,-1
Y60797,Government,Public AdministrationCommunity ServicesInsurance,Electronic Data Interchange,Enhancement,MF,3GL,COBOL,41,666,666,5,8,DB2,,-1
Y60807,Communication,Communications,relatively complex application,Enhancement,MF,4GL,,31,543,543,-1,-1,Interactive,Waterfall (incl Linear Processing & SSADM),-1
Y60817,,,,Enhancement,MR,,ARBOR/BP,115,613,613,4,-1,,,-1
Y60826,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,25,3890,3890,15,71,,,-1
Y60829,Insurance,Insurance,Unknown,Enhancement,,3GL,Java,747,15805,12960,11,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60831,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,87,2042,2042,11,30,,,-1
Y60834,,,,Enhancement,,4GL,,30,301,280,2,2,,,-1
Y60837,,,,New Development,,3GL,C,79,1108,1030,6,2,,,3200
Y60844,,,,Enhancement,,,,2391,3889,3617,5,9,,,-1
Y60850,Communication,Telecommunications,Integration,Enhancement,,3GL,TIBCO,94,3018,2475,12,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60852,,,,New Development,,,,406,964,800,-1,-1,,,-1
Y60875,Professional Services,Sales & Marketing,Trading,Enhancement,MF,4GL,ASP,226,889,889,-1,-1,SQL Server 2000,,-1
Y60876,,,,New Development,,,,2027,28160,28160,20,-1,,,-1
Y60877,Government,Public AdministrationCommunity ServicesInsurance,Electronic Data Interchange,New Development,MF,3GL,COBOL,160,4742,4742,9,13,DB2,Joint Application Development (JAD)Rapid Application Development (RAD),-1
Y60887,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,34,1407,1196,13,18,,,-1
Y60889,Communication,Telecommunications,Customer relationship management,Enhancement,,4GL,Amdocs framework,173,1447,1192,5,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60892,Government,Government,Management of Licences and Permits,Enhancement,MF,ApG,COOL:Gen,221,3191,2202,15,-1,,,-1
Y60898,Communication,Telecommunications,Other: Online. eSales,Enhancement,,4GL,html / jsp,200,1220,1005,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60900,Communication,Communications,Tools or system,Enhancement,PC,3GL,Java,98,184,184,1,-1,Solid,Waterfall (incl Linear Processing & SSADM),-1
Y60905,Insurance,Insurance,Financial transaction process/accounting,Enhancement,MF,3GL,COBOL,3622,14573,14573,5,-1,IMS,Waterfall (incl Linear Processing & SSADM),-1
Y60916,Insurance,Insurance,Unknown,Enhancement,,,,61,68,56,1,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60918,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,82,6188,6188,14,24,,,-1
Y60929,,,,Enhancement,,4GL,Oracle,120,912,912,2,-1,,,-1
Y60936,Communication,Telecommunications,Enterprise Management,Enhancement,Multi,3GL,Java,110,1912,1568,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60937,,,,New Development,,3GL,COBOL,191,973,780,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60942,,,,Enhancement,MF,3GL,COBOL,32,836,836,4,-1,,,-1
Y60943,Insurance,Insurance,Financial transaction process/accounting,New Development,MF,3GL,COBOL,366,19047,10666,7,-1,IMS,Waterfall (incl Linear Processing & SSADM),-1
Y60945,,,Network Switch Provisioning,Enhancement,,3GL,C,81,4219,4219,-1,-1,,,-1
Y60948,Communication,Telecommunications,Stock control & order processing,Enhancement,Multi,3GL,Java,65,1112,912,3,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60953,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,4,2621,2333,19,35,,,-1
Y60957,,,Financial application area,Enhancement,Multi,4GL,,188,1786,1786,7,-1,Interactive,,-1
Y60963,,,Transaction/Production System,New Development,PC,3GL,JavaScript,140,1453,1453,2,-1,Oracle 8.05,,-1
Y60967,Communication,Communications,Electronic Data Interchange,Enhancement,MR,3GL,C++,299,5242,5242,13,-1,Oracle,,-1
Y60969,Wholesale & Retail,Ordering,Stock control & order processing,Enhancement,MF,3GL,C,50,1132,1132,-1,-1,Oracle,,-1
Y60971,Insurance,Insurance,,Enhancement,MF,,,68,910,910,4,-1,,,-1
Y60973,Banking,Banking,Financial transaction process/accounting,Enhancement,MF,3GL,PL/I,370,1505,1400,5,-1,IMS,Waterfall (incl Linear Processing & SSADM),-1
Y60985,,,,New Development,,,,391,3247,3247,10,9,,,-1
Y60986,Communication,Telecommunications,Data Warehouse,Enhancement,,3GL,PL/SQL,55,351,289,6,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60990,Insurance,Insurance,Unknown,Enhancement,,,,81,139,114,1,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y60996,Service Industry,Real Estate & PropertyCommunity Services,Catalogue/register of things or eventsWorkflow support & management,New Development,Multi,3GL,C#,274,6910,6910,9,17,DB2,,-1
Y60997,Manufacturing,Manufacturing,Financial transaction process/accounting,New Development,PC,4GL,DELPHI,1151,2414,2414,22,1,,Rapid Application Development (RAD),-1
Y61024,Communication,Telecommunications,Customer relationship management,Enhancement,Multi,3GL,Java,56,962,789,5,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y61026,Government,Government,Government,New Development,PC,4GL,DELPHI,173,526,526,13,1,,Rapid Application Development (RAD),-1
Y70005,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,270,9008,9008,15,94,,,-1
Y70008,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,57,4243,4243,17,84,,,-1
Y70015,Insurance,Insurance,,Enhancement,,,Mixed,136,1695,1556,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70017,Communication,Telecommunications,Online. eSales,Enhancement,Multi,,,91,2039,1672,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70020,Communication,Telecommunications,Customer relationship management,Enhancement,Multi,4GL,Siebel,851,11995,9836,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70021,Insurance,Insurance,Unknown,Enhancement,,,,52,191,157,1,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70026,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,19,1603,1603,12,49,,,-1
Y70028,Insurance,Insurance,Unknown,Enhancement,,,,162,1249,1024,3,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70056,Insurance,Insurance,,Enhancement,,3GL,PL/SQL,124,1011,928,6,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70089,Insurance,Insurance,Unknown,Enhancement,,,,124,60,49,2,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70091,Communication,Telecommunications,Customer relationship management,Enhancement,,3GL,Java,151,989,908,-1,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70092,Communication,Telecommunications,Data Warehouse,Enhancement,,3GL,PL/SQL,105,1482,1221,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70095,Communication,Telecommunications,Workflow support & management,Enhancement,Multi,,,167,1088,892,5,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70116,Communication,Telecommunications,Customer relationship management,Enhancement,Multi,3GL,Visual Basic,97,1250,1025,3,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70117,Insurance,Insurance,Unknown,Enhancement,,,Formspath,70,89,73,2,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70122,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,107,5598,5598,22,66,,,-1
Y70129,Manufacturing,,,New Development,,3GL,Java,50,618,496,2,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70130,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,19,259,202,5,24,,,-1
Y70145,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,13,488,381,11,12,,,-1
Y70147,Communication,Telecommunications,Customer relationship management,Enhancement,Multi,,,98,1551,1272,4,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70184,Communication,Telecommunications,Stock control & order processing,Enhancement,Multi,,,202,2689,2205,9,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70188,Communication,Telecommunications,Customer relationship management,Enhancement,Multi,,,140,1249,1024,-1,-1,,Waterfall (incl Linear Processing & SSADM),-1
Y70192,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,44,300,222,9,4,,,-1
Y70194,Medical & Health Care,Medical and Health Care,not recorded,Enhancement,,,,142,54087,54087,21,172,,,-1
Y70195,Communication,Communications,Telecom & network management,Enhancement,MR,3GL,C,181,2321,2112,9,4,Oracle,,-1
